,texture class,imagenet class top 1,effect size top 1,imagenet class top 2,effect size top 2,imagenet class top 3,effect size top 3
18,honeycombed,honeycomb,0.75438595,chain_mail,0.05263158,leaf_beetle,0.01754386
6,cobwebbed,spider_web,0.65,barn_spider,0.05,radio_telescope,0.033333335
43,waffled,waffle_iron,0.44444445,honeycomb,0.12345679,pretzel,0.061728396
20,knitted,dishrag,0.35955057,wool,0.24719101,cardigan,0.15730338
39,striped,zebra,0.35632184,tiger,0.18390805,velvet,0.11494253
35,spiralled,coil,0.32,maze,0.05,knot,0.04
38,stratified,cliff,0.29,velvet,0.14,stone_wall,0.12
10,dotted,bib,0.27450982,shower_curtain,0.11764706,wallet,0.0882353
3,bubbly,bubble,0.25,beer_glass,0.09,honeycomb,0.07
30,polka-dotted,bib,0.24242425,Windsor_tie,0.11111111,shower_curtain,0.1010101
26,paisley,velvet,0.23584905,wool,0.094339624,shower_curtain,0.094339624
45,wrinkled,velvet,0.21495327,quilt,0.18691589,wool,0.056074765
27,perforated,strainer,0.21428572,space_heater,0.08928572,honeycomb,0.0625
37,stained,velvet,0.2,jean,0.034782607,handkerchief,0.026086956
14,frilly,head_cabbage,0.19298245,hoopskirt,0.096491225,velvet,0.07017544
21,lacelike,handkerchief,0.18867925,velvet,0.13207547,stole,0.10377359
16,grid,window_screen,0.18691589,oscilloscope,0.08411215,shoji,0.06542056
44,woven,hamper,0.17699115,velvet,0.15044248,dishrag,0.10619469
15,gauzy,shower_curtain,0.17117117,velvet,0.0990991,handkerchief,0.072072074
1,blotchy,velvet,0.16666667,ant,0.04385965,shower_curtain,0.02631579
46,zigzagged,maze,0.16363636,envelope,0.12727273,quilt,0.10909091
2,braided,knot,0.1588785,hamper,0.13084112,coil,0.08411215
9,crystalline,plastic_bag,0.15315315,honeycomb,0.09009009,pinwheel,0.072072074
12,flecked,wool,0.15044248,velvet,0.088495575,cardigan,0.061946902
7,cracked,stone_wall,0.15044248,guillotine,0.07079646,spider_web,0.061946902
25,meshed,window_screen,0.1495327,chainlink_fence,0.14018692,honeycomb,0.12149533
29,pleated,shower_curtain,0.14529915,velvet,0.12820514,window_shade,0.11965812
23,marbled,velvet,0.14529915,cliff,0.051282052,spider_web,0.051282052
22,lined,shower_curtain,0.14529915,window_shade,0.07692308,bib,0.07692308
42,veined,leaf_beetle,0.14035088,head_cabbage,0.0877193,walking_stick,0.05263158
0,banded,shower_curtain,0.13913043,web_site,0.09565217,Windsor_tie,0.07826087
8,crosshatched,window_screen,0.13157895,velvet,0.07017544,handkerchief,0.04385965
11,fibrous,hay,0.12931034,wool,0.05172414,pot,0.04310345
17,grooved,radiator,0.12820514,velvet,0.102564104,doormat,0.07692308
19,interlaced,maze,0.12727273,prayer_rug,0.08181818,buckle,0.08181818
24,matted,wool,0.12280702,komondor,0.078947365,wig,0.06140351
5,chequered,tray,0.12173913,wool,0.12173913,crossword_puzzle,0.08695652
31,porous,French_loaf,0.11111111,velvet,0.051282052,honeycomb,0.042735044
33,scaly,honeycomb,0.10619469,jackfruit,0.07079646,wool,0.061946902
13,freckled,lipstick,0.104347825,Band_Aid,0.08695652,seat_belt,0.069565214
41,swirly,fire_screen,0.104347825,velvet,0.104347825,shower_curtain,0.07826087
40,studded,Windsor_tie,0.10344828,strainer,0.094827585,cuirass,0.077586204
32,potholed,volcano,0.09821428,geyser,0.09821428,leatherback_turtle,0.05357143
36,sprinkled,ice_cream,0.07826087,dough,0.069565214,trifle,0.060869563
4,bumpy,custard_apple,0.077586204,jackfruit,0.05172414,pineapple,0.04310345
28,pitted,pomegranate,0.06837607,doormat,0.051282052,velvet,0.051282052
34,smeared,velvet,0.067226894,mask,0.05882353,shower_curtain,0.033613447
